Cause,Deaths,Year,Sex
Herpesviral [herpes simplex] infections (B00),23.0,2015,Male
Varicella [chickenpox] (B01),5.0,2015,Male
Zoster [herpes zoster] (B02),37.0,2015,Male
Smallpox (B03),0.0,2015,Male
Monkeypox (B04),0.0,2015,Male
Measles (B05),0.0,2015,Male
Rubella [German measles] (B06),1.0,2015,Male
Viral warts (B07),0.0,2015,Male
"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified (B08)",0.0,2015,Male
Unspecified viral infection characterized by skin and mucous membrane lesions (B09),0.0,2015,Male
Viral hepatitis  (B15-B19),906.0,2015,Male
Acute hepatitis A (B15),4.0,2015,Male
Acute hepatitis B (B16),144.0,2015,Male
Other acute viral hepatitis (B17),9.0,2015,Male
Chronic viral hepatitis (B18),789.0,2015,Male
Unspecified viral hepatitis (B19),5.0,2015,Male
Human immunodeficiency virus [HIV] disease  (B20-B24),105.0,2015,Male
Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases (B20),14.0,2015,Male
Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms (B21),8.0,2015,Male
Human immunodeficiency virus [HIV] disease resulting in other specified diseases (B22),4.0,2015,Male
Human immunodeficiency virus [HIV] disease resulting in other conditions (B23),5.0,2015,Male
Unspecified human immunodeficiency virus [HIV] disease (B24),104.0,2015,Male
Other viral diseases  (B25-B34),67.0,2015,Male
Cytomegaloviral disease (B25),18.0,2015,Male
Mumps (B26),1.0,2015,Male
Infectious mononucleosis (B27),4.0,2015,Male
Viral conjunctivitis (B30),0.0,2015,Male
"Other viral diseases, not elsewhere classified (B33)",3.0,2015,Male
Viral infection of unspecified site (B34),42.0,2015,Male
Mycoses  (B35-B49),132.0,2015,Male
Dermatophytosis (B35),0.0,2015,Male
Other superficial mycoses (B36),0.0,2015,Male
Candidiasis (B37),47.0,2015,Male
Coccidioidomycosis (B38),0.0,2015,Male
Histoplasmosis (B39),0.0,2015,Male
Blastomycosis (B40),1.0,2015,Male
Paracoccidioidomycosis (B41),0.0,2015,Male
Sporotrichosis (B42),0.0,2015,Male
Chromomycosis and phaeomycotic abscess (B43),1.0,2015,Male
Aspergillosis (B44),39.0,2015,Male
Cryptococcosis (B45),13.0,2015,Male
Zygomycosis (B46),2.0,2015,Male
Mycetoma (B47),2.0,2015,Male
"Other mycoses, not elsewhere classified (B48)",3.0,2015,Male
Unspecified mycosis (B49),24.0,2015,Male
Protozoal diseases  (B50-B64),46.0,2015,Male
Plasmodium falciparum malaria (B50),0.0,2015,Male
Plasmodium vivax malaria (B51),0.0,2015,Male
Plasmodium malariae malaria (B52),0.0,2015,Male
Other parasitologically confirmed malaria (B53),0.0,2015,Male
Unspecified malaria (B54),0.0,2015,Male
Leishmaniasis (B55),0.0,2015,Male
African trypanosomiasis (B56),0.0,2015,Male
Chagas' disease (B57),0.0,2015,Male
Toxoplasmosis (B58),2.0,2015,Male
Pneumocystosis (B59),44.0,2015,Male
"Other protozoal diseases, not elsewhere classified (B60)",0.0,2015,Male
Unspecified protozoal disease (B64),0.0,2015,Male
Helminthiases  (B65-B83),4.0,2015,Male
Schistosomiasis [bilharziasis] (B65),0.0,2015,Male
Other fluke infections (B66),0.0,2015,Male
Echinococcosis (B67),2.0,2015,Male
Taeniasis (B68),0.0,2015,Male
Cysticercosis (B69),0.0,2015,Male
Diphyllobothriasis and sparganosis (B70),0.0,2015,Male
Other cestode infections (B71),0.0,2015,Male
Dracunculiasis (B72),0.0,2015,Male
Onchocerciasis (B73),0.0,2015,Male
Filariasis (B74),0.0,2015,Male
Trichinellosis (B75),0.0,2015,Male
Hookworm diseases (B76),0.0,2015,Male
Ascariasis (B77),0.0,2015,Male
Strongyloidiasis (B78),1.0,2015,Male
Trichuriasis (B79),0.0,2015,Male
Enterobiasis (B80),0.0,2015,Male
"Other intestinal helminthiases, not elsewhere classified (B81)",1.0,2015,Male
Unspecified intestinal parasitism (B82),0.0,2015,Male
Other helminthiases (B83),0.0,2015,Male
"Pediculosis, acariasis and other infestations  (B85-B89)",4.0,2015,Male
Pediculosis and phthiriasis (B85),0.0,2015,Male
Scabies (B86),4.0,2015,Male
Myiasis (B87),0.0,2015,Male
Other infestations (B88),0.0,2015,Male
Unspecified parasitic disease (B89),0.0,2015,Male
Sequelae of infectious and parasitic diseases  (B90-B94),109.0,2015,Male
Sequelae of tuberculosis (B90),0.0,2015,Male
Sequelae of poliomyelitis (B91),27.0,2015,Male
Sequelae of leprosy (B92),0.0,2015,Male
Sequelae of other and unspecified infectious and parasitic diseases (B94),82.0,2015,Male
"Bacterial,viral and other infectious agents (B95-B98)",10.0,2015,Male
Other infectious diseases  (B99),89.0,2015,Male
Other and unspecified infectious diseases (B99),89.0,2015,Male
Malignant neoplasms  (C00-C97),29673.0,2015,Male
"Malignant neoplasms of lip, oral cavity and pharynx  (C00-C14)",773.0,2015,Male
Malignant neoplasm of lip (C00),7.0,2015,Male
Malignant neoplasm of base of tongue (C01),20.0,2015,Male
Malignant neoplasm of other and unspecified parts of tongue (C02),172.0,2015,Male
Malignant neoplasm of gum (C03),13.0,2015,Male
Malignant neoplasm of floor of mouth (C04),9.0,2015,Male
Malignant neoplasm of palate (C05),10.0,2015,Male
Malignant neoplasm of other and unspecified parts of mouth (C06),60.0,2015,Male
Malignant neoplasm of parotid gland (C07),88.0,2015,Male
Malignant neoplasm of other and unspecified major salivary glands (C08),20.0,2015,Male
Malignant neoplasm of tonsil (C09),92.0,2015,Male
Malignant neoplasm of oropharynx (C10),89.0,2015,Male
Malignant neoplasm of nasopharynx (C11),64.0,2015,Male
Malignant neoplasm of pyriform sinus (C12),12.0,2015,Male
Malignant neoplasm of hypopharynx (C13),31.0,2015,Male
